dir	fecha	indicativo	nombre	prec	presMax	presMin	provincia	racha	sol	tmax	tmed	tmin	velmedia
28.0	2017-01-13	1212E	ASTURIAS AEROPUERTO	6.5	1014.5	1009.9	ASTURIAS	18.1	1.9	9.8	7.4	4.9	3.3
32.0	2017-01-13	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1019.0	1012.9	ALICANTE	17.5		19.2	14.5	9.8	5.8
35.0	2017-01-13	5783	SEVILLA AEROPUERTO	0.0	1022.0	1019.1	SEVILLA	8.3	8.9	16.7	11.0	5.2	1.9
30.0	2017-01-14	1212E	ASTURIAS AEROPUERTO	6.5	1017.6	1014.1	ASTURIAS	10.3	4.2	10.9	7.8	4.6	1.9
31.0	2017-01-14	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1022.8	1018.6	ALICANTE	13.3		15.8	11.2	6.6	4.4
99.0	2017-01-14	5783	SEVILLA AEROPUERTO	0.0	1025.7	1021.2	SEVILLA	12.5	9.6	14.5	9.3	4.1	4.2
32.0	2017-01-15	1212E	ASTURIAS AEROPUERTO	8.8	1018.6	1016.8	ASTURIAS	9.2	1.2	10.9	8.3	5.7	1.4
31.0	2017-01-15	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1022.4	1019.2	ALICANTE	16.1		16.1	11.5	6.9	8.1
99.0	2017-01-15	5783	SEVILLA AEROPUERTO	0.0	1027.8	1024.1	SEVILLA	7.8	9.7	15.5	9.2	3.0	3.9
27.0	2017-01-16	1212E	ASTURIAS AEROPUERTO	15.4	1017.8	1013.4	ASTURIAS	8.3	0.1	11.7	9.3	6.9	2.2
31.0	2017-01-16	8019	ALICANTE-ELCHE AEROPUERTO	0.0	1020.0	1011.7	ALICANTE	19.7		18.7	14.4	10.2	8.3
99.0	2017-01-16	5783	SEVILLA AEROPUERTO	0.0	1024.9	1019.1	SEVILLA	6.1	9.7	17.1	9.7	2.3	1.9
10.0	2017-01-17	1212E	ASTURIAS AEROPUERTO	1.1	1014.2	1011.7	ASTURIAS	10.3	3.4	10.3	5.7	1.1	3.6
7.0	2017-01-17	8019	ALICANTE-ELCHE AEROPUERTO	0.5	1015.2	1009.9	ALICANTE	14.4		13.0	8.2	3.4	7.2
22.0	2017-01-17	5783	SEVILLA AEROPUERTO	0.0	1019.1	1013.3	SEVILLA	7.8	9.7	18.0	10.4	2.9	1.7
10.0	2017-01-18	1212E	ASTURIAS AEROPUERTO	0.0	1013.5	1010.9	ASTURIAS	9.2	1.8	7.3	3.4	-0.6	3.1
4.0	2017-01-18	8019	ALICANTE-ELCHE AEROPUERTO	22.7	1016.5	1014.1	ALICANTE	13.9		8.7	4.4	0.0	4.2
8.0	2017-01-18	5783	SEVILLA AEROPUERTO	0.0	1016.2	1012.4	SEVILLA	13.3	9.6	9.8	5.5	1.2	5.3
99.0	2017-01-19	1212E	ASTURIAS AEROPUERTO	0.0	1011.4	1007.3	ASTURIAS	7.8	1.8	6.9	3.4	0.0	1.4
